1,Upenn,,,
294,Teatron Jewish Theatre,1,S
295,Thai Students Association,1,S
296,The Daily Pennsylvanian,1,S
297,The F-Word ,1,S
298,The Inspiration,1,S
299,The Rotunda,1,S
300,Stouffer Steering Committee,576,S
301,Turkish Student Association,1,S
302,Ultimate Frisbee Team,1,S
303,UMOJA,1,S
304,UMOJA,1,S
305,Undergraduate Assembly (UA),1,S
306,Undergraduate Consulting Club,1,S
307,Undergraduate Economics Society,1,S
308,Undergraduate Entrepreneurial Group,1,S
309,Undergraduate Media & Entertainment,1,S
310,Undergraduate Psychology Society,1,S
311,Undergraduate Sports Business Club,1,S
312,United Minorities Council,1,S
313,United Minorities Council (UMC),1,S
314,Wharton Undergraduate,342,A
315,Dinar Cohort,314,A
316,Dinar class of 2010,315,A
317,Dinar class of 2011,315,A
318,Dollar Cohort,314,A
319,Dollar class of 2010,318,A
320,Dollar class of 2011,318,A
321,Rand Cohort,314,A
322,Rand class of 2010,321,A
323,Rand class of 2011,321,A
324,Shekel Cohort,314,A
325,Shekel class of 2010,324,A
326,Shekel class of 2011,324,A
327,Yuan Cohort,314,A
328,Yuan class of 2010,327,A
329,Yuan class of 2011,327,A
330,Yen Cohort,314,A
331,Yen class of 2010,330,A
332,Yen class of 2011,330,A
333,Peso Cohort,314,A
334,Peso class of 2010,333,A
335,Peso class of 2011,333,A
336,Rupee Cohort,314,A
337,Rupee class of 2010,336,A
338,Rupee class of 2011,336,A
339,Euro Cohort,314,A
340,Euro class of 2010,339,A
341,Euro class of 2011,339,A
342,Wharton Students (All degrees),1,A
343,University Choir,1,S
344,University Choral Society,1,S
345,University of Pennsylvania for UNICEF,1,S
346,University of Pennsylvania Student Federal Credit Union,1,S
347,University Symphony Orchestra,1,S
348,University Television-13,1,S
349,University Wind Ensemble,1,S
350,UPtown Swing,1,S
351,Vietnamese Students Association,1,S
352,Weiss Tech House,1,S
27,Innovation Fund Committee,352,S
353,West Philadelphia Improvement Corps (WEPIC),1,S
354,West Philadelphia Tutoring Project (WPTP),1,S
355,Parkway W. High School Tuesday 8:45-10:15 Van,354,S
356,WPHS Wednesday 8:45-10:15am Van,354,S
357,Shaw Middle School Tuesday 9:15-10:45am Van,354,S
358,Shaw Middle School Wednesday 9:15-10:45am Van,354,S
359,Sulzberger Middle Shool Tuesday 9:45-11:15am Van,354,S
360,Sulzberger Middle Shool Wednesday 9:45-11:15am Van,354,S
361,Sulzberger Middle Shool Thursday 9:45-11:15am Van,354,S
362,WPHS Monday 10:00-11:30am Van,354,S
363,Powel Elementary Monday 10:15-11:45am Van,354,S
364,Powel Elementary Tuesday 10:15-11:45am Van,354,S
365,Powel Elementary Wednesday 10:15-11:45am Van,354,S
366,Powel Elementary Thursday 10:15-11:45am Van,354,S
367,Powel Elementary Friday 10:15-11:45am Van,354,S
368,Powel Elementary Monday 12:30-2:00pm Van,354,S
369,Powel Elementary Wednesday 12:30-2:00pm Van,354,S
370,Rhoades Elementary Monday 1:15-2:45pm Van,354,S
371,Rhoades Elementary Thursday 1:15-2:45pm Van,354,S
372,Bryant Elementary Tuesday 1:15-2:45pm Van,354,S
373,Bryant Elementary Thursday 10:15-11:45am Van,354,S
374,Locke Elementary Monday 1:45-3:15pm Van,354,S
375,Locke Elementary Thursday 1:45-3:15pm Van,354,S
376,Anderson Elementary Tuesday 1:45 - 3:15pm Van,354,S
377,Anderson Elementary Wednesday 1:45 - 3:15pm Van,354,S
378,Penn Alexander Tuesday 1:45-3:15pm Van,354,S
379,Penn Alexander Thursday 1:45-3:15pm Van,354,S
380,Parkway W. High School Tuesday 2:15-3:45pm Van,354,S
381,Hamilton Elementary Wednesday 2:15-3:45pm Van,354,S
382,Hamilton Elementary Monday 11:45-1:15pm Van,354,S
383,Morton Elementary Tuesday 11:45-1:15pm Van,354,S
384,Morton Elementary Thursday 11:45-1:15pm Van,354,S
385,WPTP Executive Board,354,S
386,West Philly Swingers,1,S
387,Wharton Accounting Society,1,S
388,Wharton Accounting Society,1,S
389,Wharton Alliance,1,S
390,Wharton Alumni Relations Council ,1,S
391,Wharton Ambassadors,1,S
392,Wharton Analyst Group (WAG),1,S
393,Wharton Asian Business Conference,1,S
394,Wharton Asian Business Exchange (WAX),1,S
395,Wharton Business Law Association,1,S
396,Wharton China Association,1,S
397,Wharton China Business Society,1,S
398,Wharton Commodities Group (WCG),1,S
399,Wharton Consulting Club,1,S
400,Wharton Council,1,S
401,Wharton Energy Investment Group,1,S
402,Wharton Entrepreneurial Development Alliance,1,S
403,Wharton Faculty Student Society,1,S
404,Wharton Graduate Association,1,S
405,Wharton India Economic Forum,1,S
406,Wharton Indian Students Association,1,S
407,Wharton Investment Club,1,S
408,Wharton Journal,1,S
409,Wharton Latino Undergraduate Association,1,S
410,Wharton Latino Undergraduate Association,1,S
411,Wharton Management Club,1,S
412,Wharton Media and Entertainment Club,1,S
413,Wharton Mediterranean Business Society,1,S
414,Wharton Partners,1,S
415,Wharton Politics & Business Association,1,S
416,Wharton Politics and Business Association,1,S
417,Wharton Real Estate Club (MBA),1,S
418,Wharton Retail Club,1,S
419,Wharton Technology Club,1,S
420,Wharton Undergraduate Finance Club,1,S
421,Wharton Undergraduate Real Estate Club,1,S
422,Wharton Undergraduate Women's Association,1,S
423,Wharton Venture Capital Association,1,S
424,Wharton Warren Buffett Club,1,S
425,Wharton Women,1,S
426,Wharton Women,1,S
427,Without A Net,1,S
428,Women in Leadership Series,1,S
429,Women's Club Basketball,1,S
430,Women's Club Ice Hockey,1,S
431,Women's Club Lacrosse,1,S
432,Women's Club Tennis,1,S
433,Women's Club Volleyball,1,S
434,Women's Rugby,1,S
435,Women's Water Polo,1,S
436,WQHS-AM,1,S
437,Write-On,1,S
438,WTF Tae Kwon Do,1,S
439,Yan Xin Qigong,1,S
440,Alpha Chi Rho,1,S
441,Alpha Epsilon Pi,1,S
442,Alpha Tau Omega,1,S
443,Beta Theta Pi,1,S
444,Delta Kappa Epsilon,1,S
445,Delta Phi--St Elmo's Club ,1,S
446,Delta Psi--St. Anthony Hall,1,S
447,Delta Tau Delta,1,S
448,Delta Upsilon,1,S
449,Kappa Alpha Society,1,S
450,Kappa Sigma,1,S
451,Lambda Chi Alpha,1,S
452,Phi Delta Theta,1,S
453,Phi Kappa Psi,1,S
454,Phi Kappa Sigma,1,S
455,Pi Kappa Alpha,1,S
456,Pi Kappa Phi,1,S
457,Pi Lambda Phi,1,S
458,Psi Upsilon,1,S
459,Sigma Alpha Epsilon,1,S
460,Sigma Alpha Mu,1,S
461,Sigma Chi,1,S
462,Sigma Nu,1,S
463,Sigma Phi Epsilon,1,S
464,Tau Epsilon Phi,1,S
465,Zeta Beta Tau,1,S
466,Zeta Psi,1,S
467,Alpha Chi Omega,1,S
468,Alpha Phi,1,S
469,Chi Omega,1,S
470,Delta Delta Delta,1,S
471,Kappa Alpha Theta,1,S
472,Phi Sigma Sigmma,1,S
473,Sigma Delta Tau,1,S
474,Sigma Kappa,1,S
475,Alpha Kappa Alpha,1,S
476,Alpha Kappa Delta Phi,1,S
477,Delta Sigma Theta,1,S
478,Lambda Phi Epsilon,1,S
479,Lambda Theta Alpha,1,S
480,Lambda Upsilon Lambda,1,S
481,Kappa Alpha Psi,1,S
482,Omega Psi Phi,1,S
483,Sigma Gamma Rho,1,S
484,Sigma Lambda Upsilon,1,S
485,Sigma Psi Zeta,1,S
486,Zeta Phi Beta,1,S
487,Wharton Graduate (MBA Students),1,S
488,WGA Boxing Club,1,S
489,WGA Golf,1,S
490,WGA Lacrosse,1,S
491,WGA Outdoor Club,1,S
492,WGA Rugby,1,S
493,WGA Sailing,1,S
494,WGA Soccer-Men's,1,S
495,WGA Soccer-Women's,1,S
496,WGA Squash Club,1,S
497,WGA Surf Club,1,S
498,WGA Wharton Basketball Club,1,S
499,WGA Wharton Crew Club,1,S
500,WGA Wharton Ice Hockey Club,1,S
501,WGA Wharton Roadrunners & Triathletes,1,S
502,WGA Wharton Table Tennis Club,1,S
503,WGA Wharton Tennis Club,1,S
504,WGA Wharton Ultimate Frisbee Club,1,S
505,WGA Wharton Volleyball Club,1,S
506,WGA Wharton Women's Rugby - Wildebeests,1,S
507,WGA Community Consultants,1,S
508,WGA GUIDE - Guiding Undergraduates,1,S
509,WGA Healthcare International Volunteer Project,1,S
510,WGA Into The Streets,1,S
511,Rebuilding Together,1,S
512,WGA Say Yes to Education,1,S
513,WGA Summer Public Interest Fund (SPIF),1,S
514,WGA Tax Assistance Program,1,S
515,WGA Wharton BizWorld,1,S
516,WGA Wharton International Volunteers Program,1,S
517,WGA African American(AAMBAA),1,S
518,WGA African Student's Association (WASA),1,S
519,WGA ARABIA (Wharton Arab Club),1,S
520,WGA Asia Club,1,S
521,WGA Australia/New Zealand,1,S
522,WGA Canada Club,1,S
523,WGA Catholic Club,1,S
524,WGA Europa (Wharton European Club),1,S
525,WGA Greater China Club,1,S
526,WGA Hispanic MBA Assoc (WHAMBAA),1,S
527,WGA India Club,1,S
528,WGA International Cultural Show,1,S
529,WGA Israel Club,1,S
530,WGA Japan Club,1,S
531,WGA Jewish Association of MBAs (JAMBA),1,S
532,WGA Korea Club,1,S
533,WGA Latin American (WHALASA),1,S
534,WGA Latter-day Saint Student Association (LDSSA ),1,S
535,WGA Muslim Students Network,1,S
536,WGA Out for Business,1,S
537,WGA Southeast Asia club,1,S
538,WGA Wharton Asian American Association of MBAs(WAAAM),1,S
539,WGA Wharton Christian Fellowship,1,S
540,WGA CARIBIZ,1,S
541,WGA Consulting Club,1,S
542,WGA Education Industry Club,1,S
543,WGA Energy Club,1,S
544,WGA Entrepreneurship Club,1,S
545,WGA Family Business Club,1,S
546,WGA Fashion & Luxury Industries,1,S
547,WGA General Management Club,1,S
548,WGA Health Care Club,1,S
549,WGA International Development Club,1,S
550,WGA Investment Management,1,S
551,WGA Media & Entertainment,1,S
552,WGA Operations Management Club,1,S
553,WGA Penn Biotech Group,1,S
554,WGA Philly Club,1,S
555,WGA Real Estate Club,1,S
556,WGA Restructuring Club,1,S
557,WGA Sales & Trading Club,1,S
558,WGA Sports Business Club,1,S
559,WGA Technology Club,1,S
560,WGA Toastmasters,1,S
561,WGA Travel & Hospitality Club,1,S
562,WGA Venture Capital & Private Equity Club,1,S
563,WGA Veterans Club,1,S
564,WGA West Coast Club,1,S
565,WGA Wharton Automotive Club,1,S
566,WGA Wharton Finance Club,1,S
567,WGA Wharton Marketing Club,1,S
